district,gender,race,major_award_count,allegation_count,sustained_count,unsustained_count,birth_year,black,white,hispanic,blackpop,whitepop,hispanicpop,allegations_per_officer,mean,std,y,y2,y3
9.0,M,Hispanic,0.0,21.0,0.0,12.0,1957.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,Hispanic,0.0,2.0,0.0,0.0,1975.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,M,White,0.0,3.0,0.0,0.0,1981.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,M,Hispanic,0.0,1.0,0.0,0.0,1987.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,M,White,0.0,7.0,0.0,0.0,1980.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,2,2,1
9.0,M,Hispanic,0.0,11.0,4.0,6.0,1963.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,3,2,1
9.0,M,Hispanic,0.0,2.0,1.0,1.0,1962.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,F,White,0.0,1.0,1.0,0.0,1958.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,F,White,0.0,5.0,1.0,1.0,1958.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,F,White,0.0,18.0,1.0,9.0,1963.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,4,3,2
9.0,M,Hispanic,0.0,19.0,0.0,16.0,1957.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,White,0.0,32.0,1.0,24.0,1965.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,White,0.0,28.0,4.0,13.0,1959.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,White,0.0,4.0,0.0,3.0,1969.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,M,Hispanic,0.0,17.0,3.0,4.0,1975.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,4,3,2
9.0,F,White,0.0,18.0,4.0,3.0,1964.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,4,3,2
9.0,F,White,0.0,59.0,0.0,25.0,1957.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,White,1.0,37.0,1.0,14.0,1962.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,White,0.0,22.0,0.0,15.0,1974.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,F,White,0.0,12.0,0.0,3.0,1981.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,3,2,2
9.0,F,White,0.0,5.0,3.0,0.0,1960.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,M,White,0.0,22.0,4.0,9.0,1968.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,White,0.0,12.0,1.0,9.0,1973.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,3,2,2
9.0,M,Hispanic,0.0,8.0,1.0,4.0,1973.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,2,2,1
9.0,M,White,1.0,7.0,0.0,1.0,1975.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,2,2,1
9.0,M,White,0.0,19.0,0.0,5.0,1979.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,F,White,0.0,11.0,0.0,2.0,1972.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,3,2,1
9.0,F,Black,0.0,5.0,0.0,4.0,1976.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,M,White,0.0,6.0,1.0,0.0,1970.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,2,2,1
9.0,M,White,0.0,20.0,0.0,7.0,1977.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,White,0.0,22.0,0.0,7.0,1965.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,White,0.0,12.0,0.0,3.0,1976.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,3,2,2
9.0,M,Hispanic,0.0,1.0,0.0,0.0,1992.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,F,White,0.0,22.0,4.0,7.0,1956.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,White,0.0,9.0,1.0,1.0,1979.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,3,2,1
9.0,M,White,0.0,9.0,1.0,3.0,1978.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,3,2,1
9.0,M,White,0.0,21.0,1.0,12.0,1963.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,Black,0.0,30.0,3.0,18.0,1959.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,White,0.0,18.0,2.0,10.0,1968.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,4,3,2
9.0,M,White,0.0,2.0,1.0,0.0,1987.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,M,Black,0.0,12.0,1.0,2.0,1977.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,3,2,2
9.0,M,Hispanic,1.0,3.0,0.0,0.0,1973.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,M,White,0.0,15.0,1.0,6.0,1977.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,3,2,2
9.0,M,Hispanic,0.0,2.0,0.0,0.0,1989.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,M,Hispanic,2.0,15.0,2.0,2.0,1978.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,3,2,2
9.0,M,White,0.0,19.0,4.0,10.0,1963.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,White,1.0,30.0,1.0,10.0,1975.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,White,0.0,15.0,1.0,2.0,1977.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,3,2,2
9.0,M,White,1.0,20.0,4.0,9.0,1968.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,White,0.0,31.0,2.0,13.0,1970.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,F,Black,0.0,14.0,5.0,4.0,1968.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,3,2,2
9.0,M,White,0.0,17.0,1.0,13.0,1971.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,4,3,2
9.0,F,White,0.0,5.0,3.0,2.0,1960.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,M,White,0.0,11.0,1.0,6.0,1963.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,3,2,1
9.0,F,Hispanic,0.0,3.0,2.0,0.0,1971.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,1,1,1
9.0,M,Black,0.0,19.0,4.0,3.0,1975.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,M,White,0.0,10.0,1.0,3.0,1978.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,3,2,1
9.0,M,Hispanic,0.0,26.0,3.0,12.0,1966.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
9.0,F,White,0.0,20.0,1.0,7.0,1968.0,0,1,0,0,0,1,1.3689406217769264,11.986899563318778,12.501371600667932,5,3,2
